Chr,Ne,S,L,nAll,nprimeAll,nSep,nprimeSep
16,200,25,8500,36120750,10282,33863203,10149
16,200,25,17000,144491500,12400,135460781,12375
16,200,50,100,4950,2174,4641,2309
16,200,50,250,31125,6053,29180,6189
16,200,50,500,124750,8534,116953,8404
16,200,50,1000,499500,10286,468281,10029
16,200,50,2000,1999000,11436,1874063,11015
16,200,50,3000,4498500,11610,4217344,11154
16,200,50,5000,12497500,12026,11716406,11591
16,200,50,8500,36120750,12175,33863203,11693
16,200,50,17000,144491500,15207,135460781,14476
16,200,100,100,4950,1435,4641,1793
16,200,100,250,31125,5363,29180,5357
16,200,100,500,124750,9268,116953,9237
16,200,100,1000,499500,12675,468281,12154
16,200,100,2000,1999000,16820,1874063,15862
16,200,100,3000,4498500,18240,4217344,16725
16,200,100,5000,12497500,19624,11716406,18017
16,200,100,8500,36120750,20086,33863203,18502
16,200,100,17000,144491500,18950,135460781,17207
16,200,200,100,4950,1030,4641,1488
16,200,200,250,31125,5022,29180,6351
16,200,200,500,124750,14097,116953,15066
16,200,200,1000,499500,33329,468281,38822
16,200,200,2000,1999000,71367,1874063,81101
16,200,200,3000,4498500,105802,4217344,121437
16,200,200,5000,12497500,183516,11716406,194571
16,200,200,8500,36120750,336306,33863203,344612
16,200,200,17000,144491500,744458,135460781,752551
16,800,25,100,4950,4591,4641,4545
16,800,25,250,31125,14859,29180,15179
16,800,25,500,124750,25387,116953,26467
16,800,25,1000,499500,36445,468281,37704
16,800,25,2000,1999000,40580,1874063,41955
16,800,25,3000,4498500,40996,4217344,42689
16,800,25,5000,12497500,42333,11716406,44054
16,800,25,10000,49995000,43470,46870313,45505
16,800,50,100,4950,3721,4641,3911
16,800,50,250,31125,13419,29180,13991
16,800,50,500,124750,27752,116953,29152
16,800,50,1000,499500,38648,468281,40671
16,800,50,2000,1999000,42764,1874063,44553
16,800,50,3000,4498500,43828,4217344,45466
16,800,50,5000,12497500,44813,11716406,46638
16,800,50,10000,49995000,45602,46870313,47436
16,800,100,100,4950,2895,4641,3261
16,800,100,250,31125,9587,29180,9915
16,800,100,500,124750,23364,116953,23682
16,800,100,1000,499500,34235,468281,33397
16,800,100,2000,1999000,40375,1874063,39587
16,800,100,3000,4498500,43219,4217344,42202
16,800,100,5000,12497500,44072,11716406,43303
16,800,100,10000,49995000,44622,46870313,44168
16,800,200,100,4950,1900,4641,2355
16,800,200,250,31125,7806,29180,9708
16,800,200,500,124750,17862,116953,19434
16,800,200,1000,499500,34302,468281,34902
16,800,200,2000,1999000,43524,1874063,43264
16,800,200,3000,4498500,46829,4217344,46557
16,800,200,5000,12497500,50882,11716406,49555
16,800,200,10000,49995000,54504,46870313,52557
16,800,800,100,4950,565,4641,1254
16,800,800,250,31125,2728,29180,6098
16,800,800,500,124750,10266,116953,18788
16,800,800,1000,499500,29971,468281,49877
16,800,800,2000,1999000,78344,1874063,111085
16,800,800,3000,4498500,136778,4217344,171906
16,800,800,5000,12497500,248845,11716406,299230
16,800,800,10000,49995000,423157,46870313,529512
16,3200,25,100,4950,5080,4641,4908
16,3200,25,250,31125,26839,29180,25226
16,3200,25,500,124750,67544,116953,77402
16,3200,25,1000,499500,122946,468281,156890
16,3200,25,2000,1999000,156519,1874063,226689
16,3200,25,3000,4498500,166336,4217344,257507
16,3200,25,5000,12497500,174532,11716406,271553
16,3200,25,10000,49995000,178823,46870313,281570
16,3200,25,25000,312487500,181625,292957031,289071
16,3200,25,50000,1249975000,182736,1171851563,291164
16,3200,50,100,4950,4529,4641,4322
16,3200,50,250,31125,22459,29180,22728
16,3200,50,500,124750,59176,116953,67853
16,3200,50,1000,499500,109522,468281,133093
16,3200,50,2000,1999000,142523,1874063,192886
16,3200,50,3000,4498500,153891,4217344,220478
16,3200,50,5000,12497500,159155,11716406,226339
16,3200,50,10000,49995000,165686,46870313,246313
16,3200,50,25000,312487500,167820,292957031,250017
16,3200,50,50000,1249975000,168065,1171851563,249275
16,3200,100,100,4950,3581,4641,3533
16,3200,100,250,31125,19315,29180,20270
16,3200,100,500,124750,53218,116953,61219
16,3200,100,1000,499500,104824,468281,140844
16,3200,100,2000,1999000,144495,1874063,223096
16,3200,100,3000,4498500,157083,4217344,255005
16,3200,100,5000,12497500,168966,11716406,288092
16,3200,100,10000,49995000,174116,46870313,302471
16,3200,100,25000,312487500,177714,292957031,315815
16,3200,100,50000,1249975000,178736,1171851563,317794
16,3200,200,100,4950,,4641,
16,3200,200,250,31125,,29180,
16,3200,200,500,124750,,116953,
16,3200,200,1000,499500,,468281,
16,3200,200,2000,1999000,,1874063,
16,3200,200,3000,4498500,,4217344,
16,3200,200,5000,12497500,,11716406,
16,3200,200,10000,49995000,,46870313,
16,3200,3200,100,4950,,4641,
16,3200,3200,250,31125,,29180,
16,3200,3200,500,124750,,116953,
16,3200,3200,1000,499500,,468281,
16,3200,3200,2000,1999000,,1874063,
16,3200,3200,3000,4498500,,4217344,
16,3200,3200,5000,12497500,,11716406,
16,3200,3200,10000,49995000,,46870313,
64,50,10,100,4950,,4873,
64,50,10,250,31125,,30639,
64,50,10,500,124750,,122801,
64,50,10,1000,499500,,491695,
64,50,10,2000,1999000,,1967766,
64,50,10,3000,4498500,,4428211,
64,50,10,5000,12497500,,12302227,
64,50,10,10000,49995000,,49213828,
64,50,20,100,4950,1444,4873,1439
64,50,20,250,31125,3067,30639,3061
64,50,20,500,124750,3787,122801,3742
64,50,20,1000,499500,4278,491695,4217
64,50,20,2000,1999000,4513,1967766,4435
64,50,20,3000,4498500,4592,4428211,4517
64,50,20,5000,12497500,4735,12302227,4661
64,50,20,10000,49995000,4783,49213828,4707
64,50,25,100,4950,1506,4873,1526
64,50,25,250,31125,3058,30639,2974
64,50,25,500,124750,4286,122801,4203
64,50,25,1000,499500,4927,491695,4808
64,50,25,2000,1999000,5566,1967766,5449
64,50,25,3000,4498500,5656,4428211,5540
64,50,25,5000,12497500,5727,12302227,5608
64,50,25,10000,49995000,5890,49213828,5758
64,50,30,100,4950,1394,4873,1393
64,50,30,250,31125,3272,30639,3171
64,50,30,500,124750,4355,122801,4239
64,50,30,1000,499500,5615,491695,5483
64,50,30,2000,1999000,6363,1967766,6205
64,50,30,3000,4498500,6632,4428211,6478
64,50,30,5000,12497500,7104,12302227,6931
64,50,30,10000,49995000,7122,49213828,6945
64,50,40,100,4950,,4873,
64,50,40,250,31125,,30639,
64,50,40,500,124750,,122801,
64,50,40,1000,499500,,491695,
64,50,40,2000,1999000,,1967766,
64,50,40,3000,4498500,,4428211,
64,50,40,5000,12497500,,12302227,
64,50,40,10000,49995000,,49213828,
64,50,50,100,4950,1584,4873,1555
64,50,50,250,31125,5307,30639,5314
64,50,50,500,124750,12351,122801,12019
64,50,50,1000,499500,25451,491695,24236
64,50,50,2000,1999000,45831,1967766,44553
64,50,50,3000,4498500,66330,4428211,65072
64,50,50,5000,12497500,107895,12302227,104940
64,50,50,10000,49995000,236873,49213828,230057
64,50,50,20000,199990000,,196865156,
64,200,25,100,4950,2945,4873,2886
64,200,25,250,31125,8408,30639,8346
64,200,25,500,124750,11807,122801,11836
64,200,25,1000,499500,13473,491695,13514
64,200,25,2000,1999000,14957,1967766,15043
64,200,25,3000,4498500,15339,4428211,15401
64,200,25,5000,12497500,15193,12302227,15264
64,200,25,10000,49995000,15413,49213828,15468
64,200,25,20000,199990000,14425,196865156,14500
64,200,50,100,4950,2881,4873,2967
64,200,50,250,31125,6888,30639,6928
64,200,50,500,124750,11177,122801,11011
64,200,50,1000,499500,13723,491695,13578
64,200,50,2000,1999000,15111,1967766,14934
64,200,50,3000,4498500,15340,4428211,15144
64,200,50,5000,12497500,15897,12302227,15707
64,200,50,10000,49995000,15973,49213828,15797
64,200,50,20000,199990000,17038,196865156,16886
64,200,100,100,4950,2074,4873,2236
64,200,100,250,31125,6401,30639,6525
64,200,100,500,124750,12292,122801,12246
64,200,100,1000,499500,18195,491695,18108
64,200,100,2000,1999000,21283,1967766,20937
64,200,100,3000,4498500,23230,4428211,22798
64,200,100,5000,12497500,24045,12302227,23615
64,200,100,10000,49995000,25108,49213828,24669
64,200,100,20000,199990000,25274,196865156,24800
64,200,200,100,4950,1706,4873,1931
64,200,200,250,31125,6891,30639,7527
64,200,200,500,124750,15768,122801,15934
64,200,200,1000,499500,40399,491695,40709
64,200,200,2000,1999000,87988,1967766,86441
64,200,200,3000,4498500,129179,4428211,127038
64,200,200,5000,12497500,242483,12302227,233204
64,200,200,10000,49995000,501917,49213828,486736
64,200,200,20000,199990000,955023,196865156,923660
64,800,25,100,4950,4882,4873,4834
64,800,25,250,31125,18162,30639,18022
64,800,25,500,124750,34396,122801,34551
64,800,25,1000,499500,46822,491695,47654
64,800,25,2000,1999000,50408,1967766,50978
64,800,25,3000,4498500,53127,4428211,53880
64,800,25,5000,12497500,52885,12302227,53565
64,800,25,10000,49995000,53720,49213828,54448
64,800,50,100,4950,3941,4873,4003
64,800,50,250,31125,15428,30639,15811
64,800,50,500,124750,31808,122801,32068
64,800,50,1000,499500,43008,491695,43390
64,800,50,2000,1999000,50584,1967766,50818
64,800,50,3000,4498500,51807,4428211,52306
64,800,50,5000,12497500,54682,12302227,55099
64,800,50,10000,49995000,55148,49213828,55615
64,800,100,100,4950,2767,4873,2867
64,800,100,250,31125,12212,30639,12716
64,800,100,500,124750,25552,122801,26026
64,800,100,1000,499500,39057,491695,39168
64,800,100,2000,1999000,48823,1967766,48983
64,800,100,3000,4498500,52418,4428211,52466
64,800,100,5000,12497500,54695,12302227,54588
64,800,100,10000,49995000,56520,49213828,56555
64,800,200,100,4950,2344,4873,2437
64,800,200,250,31125,9767,30639,10023
64,800,200,500,124750,21480,122801,21778
64,800,200,1000,499500,36182,491695,36709
64,800,200,2000,1999000,51229,1967766,51706
64,800,200,3000,4498500,56185,4428211,56231
64,800,200,5000,12497500,59274,12302227,59110
64,800,200,10000,49995000,60490,49213828,60196
64,800,400,100,4950,,4873,
64,800,400,250,31125,,30639,
64,800,400,500,124750,,122801,
64,800,400,1000,499500,,491695,
64,800,400,2000,1999000,,1967766,
64,800,400,3000,4498500,,4428211,
64,800,400,5000,12497500,,12302227,
64,800,400,10000,49995000,,49213828,
64,800,800,100,4950,864,4873,1124
64,800,800,250,31125,4650,30639,6101
64,800,800,500,124750,16352,122801,20242
64,800,800,1000,499500,45396,491695,50440
64,800,800,2000,1999000,114492,1967766,120436
64,800,800,3000,4498500,181125,4428211,189465
64,800,800,5000,12497500,305541,12302227,321167
64,800,800,10000,49995000,593923,49213828,603466
64,3200,25,100,4950,5156,4873,5200
64,3200,25,250,31125,27225,30639,26950
64,3200,25,500,124750,77056,122801,81511
64,3200,25,1000,499500,135776,491695,155918
64,3200,25,2000,1999000,177572,1967766,210755
64,3200,25,3000,4498500,184263,4428211,221171
64,3200,25,5000,12497500,194302,12302227,234107
64,3200,25,10000,49995000,200536,49213828,243496
64,3200,25,25000,312487500,202999,307604883,248921
64,3200,25,50000,1249975000,203716,1230444141,247685
64,3200,50,100,4950,4513,4873,4362
64,3200,50,250,31125,24061,30639,26027
64,3200,50,500,124750,65654,122801,78507
64,3200,50,1000,499500,119210,491695,178778
64,3200,50,2000,1999000,151975,1967766,262779
64,3200,50,3000,4498500,166681,4428211,298938
64,3200,50,5000,12497500,172536,12302227,317438
64,3200,50,10000,49995000,176670,49213828,328352
64,3200,50,25000,312487500,179179,307604883,335317
64,3200,50,50000,1249975000,178613,1230444141,337030
64,3200,100,100,4950,3759,4873,3946
64,3200,100,250,31125,20416,30639,21428
64,3200,100,500,124750,58449,122801,68402
64,3200,100,1000,499500,119505,491695,158273
64,3200,100,2000,1999000,168237,1967766,249192
64,3200,100,3000,4498500,182549,4428211,277586
64,3200,100,5000,12497500,195305,12302227,317336
64,3200,100,10000,49995000,201804,49213828,330581
64,3200,100,25000,312487500,206715,307604883,348831
